|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
242||||||||1|09/01/2018|Vente|1.0||||B127|PRE DU BY|1570.0|MANZIAT|1|231||AK|369||||||||||||0||||||S||7.0
243||||||||1|12/01/2018|Vente|174000.0|103.0||CHE|0177|DES RAVATOUX|1190.0|SERMOYER|1|402||AC|123||||||||||||0|1.0|Maison||100.0|4.0|S||2408.0
244||||||||1|12/01/2018|Vente|174000.0||||B049|AUX COURS BASSES|1190.0|SERMOYER|1|402||AC|217||||||||||||0||||||T||900.0
245||||||||1|12/01/2018|Vente|174000.0||||B049|AUX COURS BASSES|1190.0|SERMOYER|1|402||AC|218||||||||||||0||||||P||913.0
246||||||||1|05/01/2018|Vente|188800.0|5244.0|||B031|LA GOYATIERE|1250.0|MONTAGNAT|1|254||AI|5||||||||||||0|1.0|Maison||73.0|3.0|AG|PARC|597.0
247||||||||1|05/01/2018|Vente|188800.0|5244.0|||B031|LA GOYATIERE|1250.0|MONTAGNAT|1|254||AI|5||||||||||||0|1.0|Maison||73.0|3.0|S||600.0
248||||||||1|04/01/2018|Vente|77000.0||||B036|LE HAUT MONTAGNAT|1250.0|MONTAGNAT|1|254||BD|50||||||||||||0||||||S||631.0
249||||||||1|19/01/2018|Vente|208300.0|100.0||IMP|0375|MONNET|1380.0|BAGE-DOMMARTIN|1|25||F|2192||||||||||||0|1.0|Maison||130.0|5.0|S||804.0
250||||||||1|19/01/2018|Vente|10000.0||||B041|COURTELETS|1250.0|CEYZERIAT|1|72||AK|2||||||||||||0||||||T||464.0
251||||||||1|19/01/2018|Vente|700.0||||B020|LES PERRETS|1340.0|CRAS-SUR-REYSSOUZE|1|130||B|763||||||||||||0||||||T||1140.0
252||||||||1|16/01/2018|Vente|120000.0|7.0||ALL|3230|DES PRIMEVERES|1000.0|BOURG-EN-BRESSE|1|53||AH|56||||||||||||0|1.0|Maison||70.0|3.0|S||518.0
253||||||||1|23/01/2018|Vente|255700.0||||B403|SARRY|1340.0|FOISSIAT|1|163||WB|23||||||||||||0||||||P||7670.0
254||||||||1|23/01/2018|Vente|255700.0|1871.0||RTE|0045|DE DROISELLE|1340.0|FOISSIAT|1|163||WB|206||||||||||||0|1.0|Maison||101.0|3.0|S||1652.0
255||||||||1|16/01/2018|Vente|1286.55||||B032|LES ECHANNEES|1290.0|LAIZ|1|203||B|592||||||||||||0||||||T||4765.0
256||||||||1|23/01/2018|Vente|235500.0|550.0||ALL|0425|DES FAUVETTES|1340.0|ATTIGNAT|1|24||AA|150||||||||||||0|1.0|Maison||108.0|2.0|S||714.0
