|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
4134||||||||1|20/04/2021|Vente|59000.0||||B057|MABERTIN|1290|CORMORANCHE-SUR-SAONE|1|123||C|1127||||||||||||0||||||AB||403.0
4135||||||||1|03/05/2021|Vente|35000.0|22.0||RUE|3330|DE LA REPUBLIQUE|1000|BOURG-EN-BRESSE|1|53||BC|50||3.0|22.81|||||||||1|4.0|Local industriel. commercial ou assimilé||25.0|0.0|||
4136||||||||1|19/04/2021|Vente|375000.0|3711.0||RTE|0096|DU REYSSOUZET|1340|MONTREVEL-EN-BRESSE|1|266||C|26||||||||||||0|1.0|Maison||120.0|3.0|S||1845.0
4137||||||||1|19/04/2021|Vente|375000.0|3711.0||RTE|0096|DU REYSSOUZET|1340|MONTREVEL-EN-BRESSE|1|266||C|26||||||||||||0|3.0|Dépendance||0.0|0.0|S||1845.0
4138||||||||1|19/04/2021|Vente|375000.0||||B038|LA POTIERE|1340|MONTREVEL-EN-BRESSE|1|266||C|45||||||||||||0||||||P||2793.0
4139||||||||1|19/04/2021|Vente|375000.0||||B014|LA CURTILLERE|1340|MONTREVEL-EN-BRESSE|1|266||C|72||||||||||||0||||||T||4740.0
4140||||||||1|19/04/2021|Vente|375000.0||||B038|LA POTIERE|1340|MONTREVEL-EN-BRESSE|1|266||C|515||||||||||||0||||||P||1640.0
4141||||||||1|19/04/2021|Vente|375000.0||||B038|LA POTIERE|1340|MONTREVEL-EN-BRESSE|1|266||C|516||||||||||||0||||||P||3321.0
4142||||||||1|19/04/2021|Vente|375000.0||||B038|LA POTIERE|1340|MONTREVEL-EN-BRESSE|1|266||C|517||||||||||||0||||||T||3033.0
4143||||||||1|19/04/2021|Vente|375000.0||||B038|LA POTIERE|1340|MONTREVEL-EN-BRESSE|1|266||C|518||||||||||||0||||||T||1320.0
4144||||||||1|19/04/2021|Vente|375000.0||||B038|LA POTIERE|1340|MONTREVEL-EN-BRESSE|1|266||C|568||||||||||||0||||||T||681.0
4145||||||||1|26/04/2021|Vente|304500.0|14.0||RUE|1020|DES CRETS|1000|BOURG-EN-BRESSE|1|53||BO|25||||||||||||0|1.0|Maison||143.0|5.0|S||1034.0
4146||||||||1|26/04/2021|Vente|304500.0|16.0||RUE|1020|DES CRETS|1000|BOURG-EN-BRESSE|1|53||BO|411||||||||||||0||||||S||607.0
4147||||||||1|23/04/2021|Vente|629000.0|23.0||RUE|3070|PHILIBERT LE BEAU|1000|BOURG-EN-BRESSE|1|53||AY|56||||||||||||0|3.0|Dépendance||0.0|0.0|S||682.0
4148||||||||1|23/04/2021|Vente|629000.0|23.0||RUE|3070|PHILIBERT LE BEAU|1000|BOURG-EN-BRESSE|1|53||AY|56||||||||||||0|1.0|Maison||145.0|7.0|AG||561.0
4149||||||||1|23/04/2021|Vente|629000.0|23.0||RUE|3070|PHILIBERT LE BEAU|1000|BOURG-EN-BRESSE|1|53||AY|56||||||||||||0|1.0|Maison||145.0|7.0|S||682.0
4150||||||||1|23/04/2021|Vente|629000.0|23.0||RUE|3070|PHILIBERT LE BEAU|1000|BOURG-EN-BRESSE|1|53||AY|56||||||||||||0|3.0|Dépendance||0.0|0.0|AG||561.0
4151||||||||1|23/04/2021|Vente|629000.0|23.0||RUE|3070|PHILIBERT LE BEAU|1000|BOURG-EN-BRESSE|1|53||AY|56||||||||||||0|3.0|Dépendance||0.0|0.0|AG||561.0
4152||||||||1|23/04/2021|Vente|629000.0|23.0||RUE|3070|PHILIBERT LE BEAU|1000|BOURG-EN-BRESSE|1|53||AY|56||||||||||||0|3.0|Dépendance||0.0|0.0|S||682.0
4153||||||||1|27/04/2021|Vente|298000.0||||B088|CRAZ DES BAISSES|1440|VIRIAT|1|451||AL|161||||||||||||0||||||T||12922.0
4154||||||||1|28/04/2021|Vente|126000.0|18.0||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|1|53||AT|171||296.0||310.0|92.6|||||||2|3.0|Dépendance||0.0|0.0|||
4155||||||||1|28/04/2021|Vente|126000.0|18.0||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|1|53||AT|171||296.0||310.0|92.6|||||||2|2.0|Appartement||91.0|5.0|||
4156||||||||1|28/04/2021|Vente|126000.0|14.0|B|BD|1890|DE L HIPPODROME|1000|BOURG-EN-BRESSE|1|53||AT|171||370.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4157||||||||1|28/04/2021|Vente|126000.0|18.0||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|1|53||AT|171||374.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4158||||||||1|28/04/2021|Vente|126000.0|18.0||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|1|53||AT|171||296.0||310.0|92.6|||||||2|3.0|Dépendance||0.0|0.0|||
